      -100           0          10          20          30          40          50          60          70          80          90         100
     2100.00     0.003275    0.003420    0.003471    0.003522    0.003574    0.003625    0.003676    0.003727    0.003778    0.003830    0.003881
     2110.00     0.003238    0.003381    0.003433    0.003485    0.003537    0.003589    0.003641    0.003692    0.003744    0.003796    0.003848
     2120.00     0.003201    0.003343    0.003395    0.003448    0.003500    0.003553    0.003605    0.003658    0.003710    0.003763    0.003815
     2130.00     0.003164    0.003304    0.003357    0.003410    0.003463    0.003517    0.003570    0.003623    0.003676    0.003729    0.003782
     2140.00     0.003127    0.003265    0.003319    0.003373    0.003427    0.003481    0.003534    0.003588    0.003642    0.003696    0.003750
     2150.00     0.003090    0.003227    0.003281    0.003336    0.003390    0.003445    0.003499    0.003553    0.003608    0.003662    0.003717
     2160.00     0.003053    0.003188    0.003243    0.003298    0.003353    0.003408    0.003464    0.003519    0.003574    0.003629    0.003684
     2170.00     0.003016    0.003149    0.003205    0.003261    0.003317    0.003372    0.003428    0.003484    0.003540    0.003595    0.003651
     2180.00     0.002979    0.003111    0.003167    0.003224    0.003280    0.003336    0.003393    0.003449    0.003506    0.003562    0.003618
     2190.00     0.002942    0.003072    0.003129    0.003186    0.003243    0.003300    0.003357    0.003414    0.003471    0.003528    0.003586
     2200.00     0.002905    0.003033    0.003091    0.003149    0.003207    0.003264    0.003322    0.003380    0.003437    0.003495    0.003553
     2210.00     0.002867    0.002995    0.003053    0.003111    0.003170    0.003228    0.003286    0.003345    0.003403    0.003462    0.003520
     2220.00     0.002830    0.002956    0.003015    0.003074    0.003133    0.003192    0.003251    0.003310    0.003369    0.003428    0.003487
     2230.00     0.002793    0.002917    0.002977    0.003037    0.003096    0.003156    0.003216    0.003275    0.003335    0.003395    0.003454
     2240.00     0.002756    0.002879    0.002939    0.002999    0.003060    0.003120    0.003180    0.003241    0.003301    0.003361    0.003421
     2250.00     0.002719    0.002840    0.002901    0.002962    0.003023    0.003084    0.003145    0.003206    0.003267    0.003328    0.003389
     2260.00     0.002682    0.002801    0.002863    0.002925    0.002986    0.003048    0.003109    0.003171    0.003233    0.003294    0.003356
     2270.00     0.002645    0.002763    0.002825    0.002887    0.002950    0.003012    0.003074    0.003136    0.003199    0.003261    0.003323
     2280.00     0.002608    0.002724    0.002787    0.002850    0.002913    0.002976    0.003039    0.003102    0.003164    0.003227    0.003290
     2290.00     0.002571    0.002686    0.002749    0.002813    0.002876    0.002940    0.003003    0.003067    0.003130    0.003194    0.003257
     2300.00     0.002534    0.002647    0.002711    0.002775    0.002839    0.002904    0.002968    0.003032    0.003096    0.003160    0.003225
     2310.00     0.002497    0.002608    0.002673    0.002738    0.002803    0.002868    0.002932    0.002997    0.003062    0.003127    0.003192
     2320.00     0.002460    0.002570    0.002635    0.002701    0.002766    0.002831    0.002897    0.002962    0.003028    0.003093    0.003159
     2330.00     0.002423    0.002531    0.002597    0.002663    0.002729    0.002795    0.002862    0.002928    0.002994    0.003060    0.003126
